location,continent,date,population,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,total_cases_per_million,total_deaths_per_million,case_fatality_rate,total_cases_M,total_deaths_M
Sri Lanka,Asia,2024-08-04,21832150,672798.0,1.0,16907.0,0.0,40116590.0,67.57,29463.5,740.4,2.51,0.673,0.017
Sudan,Africa,2024-08-04,46874200,63993.0,0.0,5046.0,0.0,22598737.0,28.62,1295.84,102.18,7.89,0.064,0.005
Suriname,South America,2024-08-04,618046,82501.0,0.0,1406.0,0.0,505699.0,38.49,132388.6,2256.2,1.7,0.083,0.001
Sweden,Europe,2024-08-04,10549349,2755181.0,630.0,27399.0,28.0,28312817.0,71.98,262715.12,2612.58,0.99,2.755,0.027
Switzerland,Europe,2024-08-04,8740471,4457868.0,426.0,14170.0,0.0,16940716.0,,507026.47,1611.66,0.32,4.458,0.014
Syria,Asia,2024-08-04,22125242,57423.0,0.0,3163.0,0.0,5090630.0,10.66,2556.43,140.82,5.51,0.057,0.003
Taiwan,Asia,2023-09-24,23893396,,,,,68158988.0,87.02,,,,,
Tajikistan,Asia,2024-08-04,9952789,17786.0,0.0,125.0,0.0,20568163.0,52.17,1746.77,12.28,0.7,0.018,0.0
Tanzania,Africa,2024-08-04,65497752,43230.0,0.0,846.0,0.0,39392419.0,49.11,668.04,13.07,1.96,0.043,0.001
Thailand,Asia,2024-08-04,71697024,4799180.0,560.0,34715.0,1.0,142635014.0,74.6,66901.21,483.93,0.72,4.799,0.035
Togo,Africa,2024-08-04,8848700,39530.0,0.0,290.0,0.0,3423181.0,17.56,4348.86,31.9,0.73,0.04,0.0
Tokelau,Oceania,2024-08-04,1893,80.0,0.0,0.0,0.0,5374.0,116.38,34602.07,0.0,0.0,0.0,0.0
Tonga,Oceania,2024-08-04,106867,16976.0,0.0,12.0,0.0,203208.0,72.39,161594.62,114.23,0.07,0.017,0.0
